[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813397.573788294] 64 bytes from 172.16.2.240: icmp_seq=66 ttl=59 time=47.7 ms
[1732813398.607609032] 64 bytes from 172.16.2.240: icmp_seq=67 ttl=59 time=83.4 ms
[1732813399.609209153] 64 bytes from 172.16.2.240: icmp_seq=68 ttl=59 time=83.3 ms
[1732813400.612005429] 64 bytes from 172.16.2.240: icmp_seq=69 ttl=59 time=85.5 ms
[1732813401.627934559] 64 bytes from 172.16.2.240: icmp_seq=70 ttl=59 time=101 ms
[1732813402.600514439] 64 bytes from 172.16.2.240: icmp_seq=71 ttl=59 time=72.2 ms
[1732813403.607324747] 64 bytes from 172.16.2.240: icmp_seq=72 ttl=59 time=78.8 ms
[1732813404.624314156] 64 bytes from 172.16.2.240: icmp_seq=73 ttl=59 time=93.0 ms
[1732813405.627395981] 64 bytes from 172.16.2.240: icmp_seq=74 ttl=59 time=96.7 ms
[1732813406.631677909] 64 bytes from 172.16.2.240: icmp_seq=75 ttl=59 time=99.7 ms
[1732813407.605419240] 64 bytes from 172.16.2.240: icmp_seq=76 ttl=59 time=70.1 ms
[1732813408.624371942] 64 bytes from 172.16.2.240: icmp_seq=77 ttl=59 time=87.2 ms
[1732813409.634593885] 64 bytes from 172.16.2.240: icmp_seq=78 ttl=59 time=98.9 ms
[1732813410.624097011] 64 bytes from 172.16.2.240: icmp_seq=79 ttl=59 time=86.3 ms
[1732813411.610376174] 64 bytes from 172.16.2.240: icmp_seq=80 ttl=59 time=66.5 ms
[1732813412.622255262] 64 bytes from 172.16.2.240: icmp_seq=81 ttl=59 time=79.7 ms
[1732813413.612406268] 64 bytes from 172.16.2.240: icmp_seq=82 ttl=59 time=68.0 ms
[1732813414.634854212] 64 bytes from 172.16.2.240: icmp_seq=83 ttl=59 time=89.0 ms
[1732813415.632296630] 64 bytes from 172.16.2.240: icmp_seq=84 ttl=59 time=86.7 ms
[1732813416.626245709] 64 bytes from 172.16.2.240: icmp_seq=85 ttl=59 time=79.1 ms
[1732813417.682323436] 64 bytes from 172.16.2.240: icmp_seq=86 ttl=59 time=135 ms
[1732813418.633297236] 64 bytes from 172.16.2.240: icmp_seq=87 ttl=59 time=83.3 ms
[1732813419.642063783] 64 bytes from 172.16.2.240: icmp_seq=88 ttl=59 time=91.4 ms
[1732813420.652654943] 64 bytes from 172.16.2.240: icmp_seq=89 ttl=59 time=101 ms
[1732813421.656448241] 64 bytes from 172.16.2.240: icmp_seq=90 ttl=59 time=103 ms
[1732813422.684363768] 64 bytes from 172.16.2.240: icmp_seq=91 ttl=59 time=128 ms
[1732813423.648224655] 64 bytes from 172.16.2.240: icmp_seq=92 ttl=59 time=90.8 ms
[1732813424.671979505] 64 bytes from 172.16.2.240: icmp_seq=93 ttl=59 time=113 ms
[1732813425.664486033] 64 bytes from 172.16.2.240: icmp_seq=94 ttl=59 time=105 ms
[1732813426.663348620] 64 bytes from 172.16.2.240: icmp_seq=95 ttl=59 time=104 ms
[1732813427.626470734] 64 bytes from 172.16.2.240: icmp_seq=96 ttl=59 time=65.9 ms
[1732813428.662396921] 64 bytes from 172.16.2.240: icmp_seq=97 ttl=59 time=100 ms
[1732813429.673537286] 64 bytes from 172.16.2.240: icmp_seq=98 ttl=59 time=110 ms
[1732813430.652437030] 64 bytes from 172.16.2.240: icmp_seq=99 ttl=59 time=88.0 ms
[1732813431.670348707] 64 bytes from 172.16.2.240: icmp_seq=100 ttl=59 time=106 ms
[1732813432.661833018] 64 bytes from 172.16.2.240: icmp_seq=101 ttl=59 time=95.1 ms
[1732813433.640448806] 64 bytes from 172.16.2.240: icmp_seq=102 ttl=59 time=73.3 ms
